activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,32233,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL111217,,CHEMBL111217,7.20,0,http://www.openphacts.org/units/Nanomolar,251326,=,1,1,=,,EC50,nM,,63.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,63.0
,32234,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL111217,,CHEMBL111217,8.19,0,http://www.openphacts.org/units/Nanomolar,251326,=,1,1,=,,EC50,nM,,6.4,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,6.4
,33386,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL130231,,CHEMBL130231,7.29,0,http://www.openphacts.org/units/Nanomolar,251310,=,1,1,=,,EC50,nM,,51.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,51.0
,33387,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL130231,,CHEMBL130231,8.57,0,http://www.openphacts.org/units/Nanomolar,251310,=,1,1,=,,EC50,nM,,2.7,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,2.7
,35892,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL337393,,CHEMBL337393,7.40,0,http://www.openphacts.org/units/Nanomolar,251312,=,1,1,=,,EC50,nM,,40.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,40.0
,35893,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL337393,,CHEMBL337393,8.57,0,http://www.openphacts.org/units/Nanomolar,251312,=,1,1,=,,EC50,nM,,2.7,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,2.7
,37048,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCCCOc1c(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL131826,,CHEMBL131826,7.33,0,http://www.openphacts.org/units/Nanomolar,251325,=,1,1,=,,EC50,nM,,47.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,47.0
,37049,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CCCCOc1c(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL131826,,CHEMBL131826,8.39,0,http://www.openphacts.org/units/Nanomolar,251325,=,1,1,=,,EC50,nM,,4.1,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,4.1
,37061,[],CHEMBL658541,In vitro agonist efficacy against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F)=C\C(=O)O,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL335242,,CHEMBL335242,7.52,0,http://www.openphacts.org/units/Nanomolar,251323,=,1,1,=,,EC50,nM,,30.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,30.0
,37062,[],CHEMBL656170,In vitro agonistic activity against PPAR gamma along with 100 nM BRL-49653,F,,,BAO_0000188,BAO_0000019,assay format,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F)=C\C(=O)O,,,CHEMBL1136440,Bioorg. Med. Chem. Lett.,2003,,CHEMBL335242,,CHEMBL335242,7.91,0,http://www.openphacts.org/units/Nanomolar,251323,=,1,1,=,,EC50,nM,,12.2,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,EC50,nM,UO_0000065,,12.2
